set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
40913,"Vintage Parade Car",,2499,https://lego.mybrickhouse.com/products/lego-icons-vintage-parade-car-building-kit-for-adults-40913
40805,"Arcade Machine",3600,4549,https://lego.mybrickhouse.com/products/lego-r-arcade-machine-game-room-decor-gaming-gift-for-ages-10-plus-40805
71838,"Kai's Motorcycle Speed Race",900,1149,https://lego.mybrickhouse.com/products/ninjago-kais-motorcycle-speed-race-71838-building-kit-79-pieces
75411,"Darth Maul Mech",1600,1699,https://lego.mybrickhouse.com/products/star-wars-tm-darth-maul-mech-75411-building-kit-143-pieces
10449,"First Time: Visit with the Doctor",3600,4099,https://lego.mybrickhouse.com/products/duplo-r-town-first-time-visit-to-the-doctor-10449-building-kit-65-pieces
71858,"Four Weapons Blacksmith 15th Anniversary",9000,9999,https://lego.mybrickhouse.com/products/lego-r-ninjago-r-four-weapons-blacksmith-15th-anniversary-71858
60500,"The LEGO Van",2999,2999,https://lego.mybrickhouse.com/products/lego-r-city-the-lego-van-toy-building-set-for-kids-60500
76477,"Norbert: Hagrid's Baby Dragon",4500,5499,https://lego.mybrickhouse.com/products/lego-r-harry-potter-norbert-hagrid-s-baby-dragon-toy-76477
30721,"Flower Stand with Roses",,399,https://lego.mybrickhouse.com/products/lego-30721-recruitment-bags-flower-stand-with-roses-55-pieces
11371,"Shopping Street",22500,24999,https://lego.mybrickhouse.com/products/lego-r-icons-shopping-street-model-building-kit-11371
40764,"Easter Bunny Surprise",,2099,https://lego.mybrickhouse.com/products/easter-bunny-surprise-animal-toy-for-kids-who-love-imaginative-play-40764-building-kit-217-pieces
75390,"Luke Skywalker X-Wing Mech",1400,1799,https://lego.mybrickhouse.com/products/star-wars-luke-skywalker-x-wing-mech-set-75390-building-kit-195-pieces
40669,"Iron Man MK5 Figure",900,899,https://lego.mybrickhouse.com/products/brickheadz-marvel-iron-man-mk5-figure-40669-building-kit-101-pieces
40719,"Traditional Chess Set",6700,7299,https://lego.mybrickhouse.com/products/traditional-chess-set-board-game-for-kids-40719-building-kit-743-pieces
60495,"Recycling Truck",3600,4499,https://lego.mybrickhouse.com/products/lego-r-city-recycling-truck-toy-truck-for-kids-60495
76478,"Book Nook: Dumbledore's Office",11700,12999,https://lego.mybrickhouse.com/products/lego-r-harry-potter-book-nook-dumbledore-s-office-set-76478
40871,"Gift Box Celebration",1800,1999,https://lego.mybrickhouse.com/products/lego-r-gift-box-celebration-happy-birthday-decor-40871
40923,"Shrek, Donkey & Gingy Figures",2200,2499,https://lego.mybrickhouse.com/products/lego-r-brickheadz-shrek-donkey-gingy-figures-40923
71439,"Adventures with Interactive LEGO Mario",4500,5999,https://lego.mybrickhouse.com/products/lego-r-super-mario-adventures-with-interactive-lego-r-mario-71439
76435,"Hogwarts Castle: The Great Hall",18000,17299,https://lego.mybrickhouse.com/products/harry-potter-hogwarts-castle-the-great-hall-76435-building-kit-1732-pieces
854234,"Chili Girl Key Chain",500,699,https://lego.mybrickhouse.com/products/chilli-girl-keyring-854234-fun-spice-themed-gift-for-kids-aged-10
10366,"Tropical Aquarium",43200,45799,https://lego.mybrickhouse.com/products/icons-10366
40772,"Celebration Series: Luminous Ghost",,2299,https://lego.mybrickhouse.com/products/tbd_halloween-1
21363,"The Goonies",29700,31199,https://lego.mybrickhouse.com/products/ideas-21363-1
75409,"Jango Fett's Firespray-Class Starship",27000,32999,https://lego.mybrickhouse.com/products/lego-r-star-wars-jango-fett-s-firespray-class-starship-display-set-75409
854317,"T. rex Suit Guy Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-t-rex-suit-guy-key-chain-gift-idea-for-kids-aged-6-and-up-854317
40468,"Yellow Taxi",900,899,https://lego.mybrickhouse.com/products/creator-yellow-taxi-40468-building-kit-124-pieces
